default_code,name,standard_price,list_price
BAC_60NP_035,Tole bac 0 60MM 3 50M galva 1000/16 8kg - feuilles,45112,56000
BAC_60NP_040,Tole bac 0 60MM 4 00M galva 1000/19 2kg - feuilles,51556,64000
BAC_60NP_045,Tole bac 0 60MM 4 50M galva 1000/21 6kg - feuilles,58000,72000
BAC_60NP_050,Tole bac 0 60MM 5 00M galva 1000/24kg - feuilles,64445,80000
BAC_60NP_055,Tole bac 0 60MM 5 50M galva 1000/26 4kg - feuilles,70890,88000
BAC_60NP_060,Tole bac 0 60MM 6 00M galva 1000/28 8kg - feuilles,77334,96000
BAC_60NP_999,Tole bac 0 60MM coupe longueur galva 1000/4 8kg - metre,12889,16000
BAC_60RG_001,Tole bac cintrée 0 60MM coupe longueur rouge brun 1250 - metre,15550,27600
BAC_60RG_999,Tole bac 0 60MM coupe longueur rouge brun 1250/6kg - metre,15550,22080
BAC_60RP_001,Tole bac cintrée 0 60MM coupe longueur rougr brun 1000 - metre,13859,22080
BAC_60RP_999,Tole bac 0 60MM coupe longueur rouge brum 1000/4 8kg - metre,13859,18400
BAC_60TP_999,Tole bac 0 60MM coupe longueur rouge trafic 1000/4 8kg - metre,13859,18400
BAC_60VP_999,Tole bac 0 60MM coupe longueur vert pale 1000/4 8kg - metre,13859,18400
BAC_60WG_001,Tole bac cintrée 0 60MM coupe longueur blanc 1250 - metre,15550,27600
BAC_60WG_999,Tole bac 0 60MM coupe longueur blanc 1250/6kg - metre,15550,22080
BAC_60WP_001,Tole bac cintrée 0 60MM coupe longueur blanc 1000 - metre,13859,22080
BAC_60WP_999,Tole bac 0 60MM Coupe longueur blanc 1000/4 8kg - metre,14101,18400
BAC_63GP_999,Tole bac 0 63MM coupe longueur gris 1000/5 04kg - metre,15542,18400
BAC_63RP_999,Tole bac 0 63MM coupe longueur rouge brun 1000/5 04kg - metre,15430,18400
BAC_63VP_999,Tole bac 0 63MM coupe longueur vert pale 1000/5 04kg - metre,15430,18400
BAC_75GP_001,Tole bac cintrée 0 75MM coupe longueur blanc gris 1000 - metre,18591,32040
BAC_75GP_999,Tole bac 0 75MM coupe longueur gris blanc 1000/6kg - metre,18591,26700
BAC_75NP_001,Tole bac cintrée 0 75MM coupe longueur galva 1000 - metre,15250,25680
BAC_75NP_020,Tole bac 0 75MM 2 00M galva 1000/12kg - feuilles,30500,42800
BAC_75NP_025,Tole bac 0 75MM 2 50M galva 1000/15kg - feuilles,38125,53500
BAC_75NP_030,Tole bac 0 75MM 3 00M galva 1000/18kg - feuilles,45750,64200
BAC_75NP_035,Tole bac 0 75MM 3 50M galva 1000/21kg - feuilles,53375,74900
