"id","journal_id.id","partner_id/id","period_id.id","date","name","state"
"FAA13784",105,"C22970",1,2011/01/04,"FAA13784","posted"
"FAA13785",105,"C22970",1,2011/01/05,"FAA13785","posted"
"FAA14297",105,"C22151",1,2011/01/13,"FAA14297","posted"
"FAA13786",105,"C22907",1,2011/01/05,"FAA13786","posted"
"FAA13686",105,"C22905",1,2011/01/03,"FAA13686","posted"
"FAA13687",105,"C22905",1,2011/01/03,"FAA13687","posted"
"FAT08841",105,"C53003",1,2011/01/03,"FAT08841","posted"
"FAA13688",105,"C22662",1,2011/01/03,"FAA13688","posted"
"FAA13689",105,"C22662",1,2011/01/03,"FAA13689","posted"
"FAA13690",105,"C22909",1,2011/01/03,"FAA13690","posted"
"FAA13691",105,"C22662",1,2011/01/03,"FAA13691","posted"
"FAT08842",105,"C53902",1,2011/01/03,"FAT08842","posted"
"FAT08843",105,"C53196",1,2011/01/03,"FAT08843","posted"
"FAT08844",105,"C53102",1,2011/01/03,"FAT08844","posted"
"FAA13702",105,"C24057",1,2011/01/03,"FAA13702","posted"
"FAT08910",105,"C53902",1,2011/01/06,"FAT08910","posted"
"FAA13692",105,"C22909",1,2011/01/03,"FAA13692","posted"
"FAA13693",105,"C24017",1,2011/01/03,"FAA13693","posted"
"FAA13695",105,"C22970",1,2011/01/03,"FAA13695","posted"
"FAA13694",105,"C24030",1,2011/01/03,"FAA13694","posted"
"FAT08845",105,"C53901",1,2011/01/03,"FAT08845","posted"
"FAA13697",105,"C24030",1,2011/01/03,"FAA13697","posted"
"FAA13696",105,"C22905",1,2011/01/03,"FAA13696","posted"
"FAA13698",105,"C22970",1,2011/01/03,"FAA13698","posted"
"FAA13699",105,"C24030",1,2011/01/03,"FAA13699","posted"
"FAA13700",105,"C22907",1,2011/01/03,"FAA13700","posted"
"FAA13711",105,"C22905",1,2011/01/03,"FAA13711","posted"
"FAA13701",105,"C22970",1,2011/01/03,"FAA13701","posted"
"FAA13703",105,"C22909",1,2011/01/03,"FAA13703","posted"
"FAT11896",105,"C53299",5,2011/05/13,"FAT11896","posted"
"FAT12027",105,"C53299",5,2011/05/19,"FAT12027","posted"
"FAT11897",105,"C53299",5,2011/05/13,"FAT11897","posted"
"FAT12028",105,"C53299",5,2011/05/19,"FAT12028","posted"
"FAT09678",105,"C53299",2,2011/02/04,"FAT09678","posted"
"FAT11663",105,"C53299",5,2011/05/04,"FAT11663","posted"
"FAT12029",105,"C53299",5,2011/05/19,"FAT12029","posted"
"FAT09685",105,"C53299",2,2011/02/04,"FAT09685","posted"
"FAT10086",105,"C53299",2,2011/02/21,"FAT10086","posted"
"FAT12030",105,"C53299",5,2011/05/19,"FAT12030","posted"
"FAT09684",105,"C53299",2,2011/02/04,"FAT09684","posted"
"FAT12032",105,"C53299",5,2011/05/19,"FAT12032","posted"
"FAT12075",105,"C53299",5,2011/05/19,"FAT12075","posted"
"FAT08857",105,"C53024",1,2011/01/04,"FAT08857","posted"
"FAT08858",105,"C53226",1,2011/01/04,"FAT08858","posted"
"FAA13725",105,"C22708",1,2011/01/04,"FAA13725","posted"
"FAA13727",105,"C22981",1,2011/01/04,"FAA13727","posted"
"FAA13726",105,"C22970",1,2011/01/04,"FAA13726","posted"
"FAA13728",105,"C22370",1,2011/01/04,"FAA13728","posted"
"FAA13729",105,"C22970",1,2011/01/04,"FAA13729","posted"
"FAA13730",105,"C22453",1,2011/01/04,"FAA13730","posted"
"FAA13731",105,"C22970",1,2011/01/04,"FAA13731","posted"
"FAA13733",105,"C24017",1,2011/01/04,"FAA13733","posted"
"FAA13732",105,"C22909",1,2011/01/04,"FAA13732","posted"
"FAT08860",105,"C53901",1,2011/01/04,"FAT08860","posted"
"FAA13841",105,"C22151",1,2011/01/05,"FAA13841","posted"
"FAA13873",105,"C22151",1,2011/01/06,"FAA13873","posted"
"FAA14132",105,"C22151",1,2011/01/11,"FAA14132","posted"
"FAA13787",105,"C22970",1,2011/01/05,"FAA13787","posted"
"FAA14447",105,"C22907",1,2011/01/15,"FAA14447","posted"
"FRA01154",105,"C22970",1,2011/01/05,"FRA01154","posted"
"FAA13793",105,"C24020",1,2011/01/05,"FAA13793","posted"
"FAA13796",105,"C22856",1,2011/01/05,"FAA13796","posted"
"FAA13791",105,"C22909",1,2011/01/05,"FAA13791","posted"
"FAA13790",105,"C22909",1,2011/01/05,"FAA13790","posted"
"FAA13789",105,"C22970",1,2011/01/05,"FAA13789","posted"
"FAA13794",105,"C22970",1,2011/01/05,"FAA13794","posted"
"FAA13792",105,"C22970",1,2011/01/05,"FAA13792","posted"
"FAA13804",105,"C22639",1,2011/01/05,"FAA13804","posted"
"FAA13795",105,"C22970",1,2011/01/05,"FAA13795","posted"
"FAA13797",105,"C22907",1,2011/01/05,"FAA13797","posted"
"FAA13810",105,"C22970",1,2011/01/05,"FAA13810","posted"
"FAA13803",105,"C22908",1,2011/01/05,"FAA13803","posted"
"FRA01155",105,"C22986",1,2011/01/05,"FRA01155","posted"
"FAA13798",105,"C22909",1,2011/01/05,"FAA13798","posted"
"FAA13806",105,"C75015",1,2011/01/05,"FAA13806","posted"
"FAT08847",105,"C53299",1,2011/01/03,"FAT08847","posted"
"FAA13859",105,"C94017",1,2011/01/05,"FAA13859","posted"
"FAT08879",105,"C53902",1,2011/01/05,"FAT08879","posted"
"FAA13858",105,"C22008",1,2011/01/05,"FAA13858","posted"
"FAA13857",105,"C22986",1,2011/01/05,"FAA13857","posted"
"FAA13998",105,"C22970",1,2011/01/07,"FAA13998","posted"
"FAA13860",105,"C22909",1,2011/01/05,"FAA13860","posted"
"FRA01158",105,"C22986",1,2011/01/05,"FRA01158","posted"
"FAA13861",105,"C22909",1,2011/01/05,"FAA13861","posted"
"FAA13862",105,"C22482",1,2011/01/05,"FAA13862","posted"
"FAA13864",105,"C22970",1,2011/01/05,"FAA13864","posted"
"FAA13863",105,"C22388",1,2011/01/05,"FAA13863","posted"
"FAA13865",105,"C22388",1,2011/01/05,"FAA13865","posted"
"FAA13883",105,"C22912",1,2011/01/06,"FAA13883","posted"
"FAA13866",105,"C86015",1,2011/01/05,"FAA13866","posted"
"FAT08880",105,"C53196",1,2011/01/05,"FAT08880","posted"
"FAT08881",105,"C53196",1,2011/01/05,"FAT08881","posted"
"FAT08883",105,"C53196",1,2011/01/05,"FAT08883","posted"
"FAT08885",105,"C53003",1,2011/01/05,"FAT08885","posted"
"FAT08884",105,"C53196",1,2011/01/05,"FAT08884","posted"
"FAT08886",105,"C22071",1,2011/01/05,"FAT08886","posted"
"FAT08887",105,"C22071",1,2011/01/05,"FAT08887","posted"
"FAT08888",105,"C53301",1,2011/01/05,"FAT08888","posted"
"FRM00398",105,"C22970",1,2011/01/05,"FRM00398","posted"
"FRA01159",105,"C24030",1,2011/01/05,"FRA01159","posted"
"FRA01160",105,"C22657",1,2011/01/05,"FRA01160","posted"
"FAT08889",105,"C53196",1,2011/01/05,"FAT08889","posted"
"FAT08890",105,"C53301",1,2011/01/05,"FAT08890","posted"
"FRA01161",105,"C22008",1,2011/01/05,"FRA01161","posted"
"FAT08892",105,"C53901",1,2011/01/05,"FAT08892","posted"
"FAT08895",105,"C53901",1,2011/01/05,"FAT08895","posted"
"FAT08897",105,"C53901",1,2011/01/05,"FAT08897","posted"
"FAT08896",105,"C53901",1,2011/01/05,"FAT08896","posted"
"FAT08938",105,"C53022",1,2011/01/06,"FAT08938","posted"
"FAT08898",105,"C53033",1,2011/01/05,"FAT08898","posted"
"FAA13867",105,"C22909",1,2011/01/06,"FAA13867","posted"
"FAA13882",105,"C22909",1,2011/01/06,"FAA13882","posted"
