.id,prix1,prix2,prix3,prix4,prix5,prix6,prix7,prix8,prix9,list_price
5478,1,1,1,1,1,1,1,1,1,3911
5478,1,1,1,1,1,1,1,4224,1,1
5478,1,1,1,4224,1,1,1,1,1,1
5478,1,1,1,1,1,1,1,1,4224,1
5636,1,1,1,1,1,2181,1,1,1,1
5636,2181,1,1,1,1,1,1,1,1,1
5636,1,1,2181,1,1,1,1,1,1,1
5636,1,1,1,1,1,1,1,1,1,2181
5636,1,1,1,1,2181,1,1,1,1,1
5636,1,1,1,1,1,1,2181,1,1,1
5636,1,1,1,1,1,1,1,2398,1,1
5636,1,1,1,1,1,1,1,1,2398,1
5636,1,1,1,1,1,1,1,1,1,2211
5636,1,1,1,2398,1,1,1,1,1,1
5479,1,1,1,1,1,1,1,242,1,1
5479,1,1,1,242,1,1,1,1,1,1
5480,1,1,1,1442,1,1,1,1,1,1
5480,1,1,1,1,1,1,1442,1,1,1
5480,1,1,1,1,1,1362.5,1,1,1,1
5480,1,1,1,1,1,1,1,1442,1,1
5482,1,1,1,1,5831,1,1,1,1,1
5482,1,1,1,1,1,1,5941.5,1,1,1
5482,1,1,1,1,1,1,1,5619,1,1
5485,1,1,1,1,1,1,1,1,1,17925
5485,1,1,1,1,1,1,1,1,19691,1
5485,1,1,1,1,18795,1,1,1,1,1
5485,1,1,1,1,1,1,18795,1,1,1
9862,1,1,1,1,18795,1,1,1,1,1
9862,1,1,1,1,1,1,18795,1,1,1
9862,1,1,1,1,1,1,1,1,1,17925
5486,1,1,1,1,1,1791,1,1,1,1
5486,1,1,1,1,1,1,1951,1,1,1
5487,1,1,1,1,1,17911,1,1,1,1
5487,1,1,1,1,1,1,19511,1,1,1
5488,1,1,1,1,1,1,1,1,1,4511
5488,1,1,1,1,4597,1,1,1,1,1
5488,1,1,1,1,1,1,4597,1,1,1
5488,1,1,1,1,1,1,1,1,4816,1
5489,1,1,1,1,1,1,1,1,19691,1
5489,1,1,1,1,18795,1,1,1,1,1
5489,1,1,1,1,1,1,18795,1,1,1
5489,1,1,1,1,1,1,1,1,1,17925
9863,1,1,1,1,1,1,1,1,1,17925
9863,1,1,1,1,18795,1,1,1,1,1
9863,1,1,1,1,1,1,18795,1,1,1
5490,1,1,1,1,1,1791,1,1,1,1
5490,1,1,1,1,1,1,1951,1,1,1
5491,1,1,1,1,1,17911,1,1,1,1
5491,1,1,1,1,1,1,19511,1,1,1
5492,1,1,1,1,4597,1,1,1,1,1
5492,1,1,1,1,1,1,4597,1,1,1
5492,1,1,1,1,1,1,1,1,4816,1
5492,1,1,1,1,1,1,1,1,1,4511
5493,1,1,1,1,1,1,1,1,1,17925
5493,1,1,1,1,1,1,1,1,19691,1
5493,1,1,1,1,18795,1,1,1,1,1
5493,1,1,1,1,1,1,18795,1,1,1
9864,1,1,1,1,18795,1,1,1,1,1
9864,1,1,1,1,1,1,18795,1,1,1
9864,1,1,1,1,1,1,1,1,1,17925
5494,1,1,1,1,1,1791,1,1,1,1
5494,1,1,1,1,1,1,1951,1,1,1
5495,1,1,1,1,1,17911,1,1,1,1
5495,1,1,1,1,1,1,19511,1,1,1
5496,1,1,1,1,1,1,1,1,1,4511
5496,1,1,1,1,4597,1,1,1,1,1
5496,1,1,1,1,1,1,4597,1,1,1
5496,1,1,1,1,1,1,1,1,4816,1
12670,1,1,1,1,1,1,1,1,23284,1
12670,1,1,1,1,1,1,1,1,1,21243
5497,1,1,1,1,1,1,1,1,1,2411
5497,1,1,1,1,1,1,1,1,2567,1
