"id","name","ref","partner_id/id","account_id.id","debit","credit","journal_id/id","invoice/id","period_id.id","move_id:id"
1,"FAA13788","FAA13788","C88010",389,0,324137.4,"BNK3",,1,71
2,"FAA13788","FAA13788","C88010",996,324137.4,0,"BNK3",,1,71
